,freight_value,price,payment_value,payment_installments,payment_sequential
110701,13.99,138.0,151.99,2,1
75611,18.32,62.9,81.22,1,1
107255,15.28,219.0,227.2,1,2
46630,22.67,25.99,97.32,3,1
24868,26.22,134.9,161.12,6,1
43282,16.46,99.88,116.34,2,1
31270,37.87,169.0,206.87,5,1
56211,23.3,72.0,95.3,1,1
7201,74.35,3109.99,3184.34,10,1
71756,12.48,16.48,28.96,2,1
40246,15.23,18.9,34.13,1,1
3030,16.55,109.99,156.56,4,1
40991,17.99,59.9,77.89,4,1
42787,18.23,122.55,51.17,1,3
101601,20.8,27.9,97.4,9,1
84965,16.56,133.0,149.56,10,1
13413,69.33,149.99,361.31,10,1
28078,18.23,10.0,28.23,1,1
93013,14.69,239.0,253.69,2,1
102644,22.27,205.0,227.27,2,1
68215,12.65,74.9,87.55,1,1
105354,18.0,527.9,545.9,3,1
112047,8.93,239.0,247.93,5,1
32370,12.25,149.99,162.24,2,1
19390,22.88,79.99,308.61,1,1
97090,15.1,49.99,65.09,6,1
50720,13.53,199.9,213.43,1,1
32320,13.25,699.4,712.65,3,1
47363,44.61,119.9,164.51,1,1
362,25.54,170.0,195.54,1,1
1641,19.84,227.99,247.83,4,1
66815,16.84,57.81,74.65,3,1
10102,7.39,12.67,40.12,1,1
95652,21.4,109.0,130.4,2,1
96338,9.54,69.99,159.06,10,1
31774,29.88,119.9,149.78,1,1
23971,13.71,12.9,53.22,1,1
49020,19.95,989.0,1008.95,10,1
35620,21.32,75.9,198.44,4,1
68885,16.63,124.8,141.43,10,1
11118,17.07,89.9,106.97,2,1
42151,13.58,79.99,93.57,1,1
45721,7.95,99.9,107.85,1,1
25779,17.69,139.9,315.18,2,1
6695,17.09,5.3,89.56,5,1
4556,51.74,124.9,176.64,4,1
37447,8.88,39.0,47.88,1,1
4157,17.8,79.08,96.88,2,1
33191,15.48,104.0,119.48,1,1
101490,37.42,327.49,364.91,4,1
62266,90.81,599.0,689.81,10,1
64160,16.79,22.9,39.69,1,1
43223,15.72,119.5,135.22,2,1
43833,16.7,134.9,151.6,3,1
66136,29.47,298.88,328.35,1,1
75344,19.67,99.9,119.57,1,1
80794,19.59,89.0,108.59,1,1
54260,8.14,125.0,133.14,3,1
75112,23.25,96.0,119.25,1,1
32157,23.51,91.9,230.82,5,1
18588,19.5,89.9,218.8,1,1
18437,20.46,181.5,201.96,4,1
81997,25.38,13.65,39.03,1,1
32365,66.13,24.99,153.06,1,1
43214,12.69,17.99,30.68,1,1
27953,22.95,64.99,87.94,3,1
45801,29.99,57.0,4.18,1,5
96669,14.16,49.9,64.06,1,1
40570,18.65,199.9,218.55,3,1
102202,12.75,35.0,95.5,1,1
45811,25.24,519.9,545.14,1,1
11362,46.77,629.0,675.77,3,1
45736,17.74,69.9,87.64,1,1
79970,12.79,49.9,125.38,2,1
3733,9.41,84.94,94.35,9,1
94824,17.6,37.99,55.59,4,1
12670,18.62,49.9,315.63,10,1
47000,13.5,68.0,81.5,3,1
34947,51.76,149.0,200.76,1,1
78521,19.72,69.0,88.72,1,1
31123,17.69,420.0,437.69,1,1
55148,16.79,25.33,42.12,2,1
46679,7.78,24.99,65.54,1,1
57018,16.08,123.78,139.86,1,1
32004,54.3,89.9,44.2,2,1
73882,14.49,57.0,71.49,1,1
69197,20.52,189.9,210.42,1,1
87628,16.02,179.99,196.01,1,1
66709,18.87,142.0,160.87,3,1
10317,11.73,70.0,163.46,3,1
42133,17.96,109.9,127.86,2,1
63009,7.87,48.9,56.77,4,1
112220,27.84,77.9,105.74,1,1
87655,14.42,153.99,168.41,3,1
76020,16.39,28.8,45.19,1,1
6657,13.45,220.0,233.45,1,1
71495,15.1,10.9,26.0,2,1
8939,18.2,135.0,153.2,1,1
93343,14.2,85.0,198.4,1,1
46177,18.59,69.99,88.58,4,1
29900,21.39,129.0,150.39,10,1
89530,13.37,49.0,62.37,3,1
111131,10.18,289.0,299.18,4,1
12423,32.84,55.0,263.52,10,1
42838,19.09,169.99,15.0,1,3
52501,11.85,41.99,161.52,1,1
41959,13.56,129.0,142.56,2,1
55811,13.86,217.0,230.86,8,1
101430,16.96,189.8,11.0,1,2
28153,36.15,119.0,155.15,1,1
71479,19.54,49.9,69.44,1,1
1718,14.0,27.5,151.4,8,1
46977,7.39,45.0,314.34,1,1
93082,18.02,126.8,144.82,1,1
80305,25.89,149.98,175.87,1,1
61374,21.15,31.9,53.05,1,1
106671,7.39,7.79,12.24,1,2
96569,0.09,69.9,204.0,1,1
42266,14.1,11.55,25.65,1,1
43500,8.02,109.9,117.92,10,1
31380,23.55,654.9,678.45,4,1
70087,11.85,49.0,60.85,2,1
45392,17.6,165.9,183.5,4,1
31410,18.27,79.98,294.75,1,1
61611,16.06,89.0,105.06,1,1
24420,11.85,29.0,1.24,1,2
90256,18.59,190.87,418.92,1,1
103235,44.84,149.0,193.84,4,1
75959,7.39,16.99,24.38,1,1
58106,7.78,16.5,24.28,1,1
106974,19.53,79.9,99.43,1,1
36372,18.23,19.65,37.88,1,1
25504,18.5,179.0,395.0,2,1
56716,9.94,38.25,48.19,2,1
36608,14.1,49.0,63.1,1,1
69819,18.57,189.0,207.57,1,1
15894,20.78,99.9,120.68,1,1
85232,17.23,255.0,272.23,4,1
97326,14.52,14.9,29.42,1,1
39134,15.1,21.9,37.0,1,1
79131,28.59,359.99,497.07,3,1
28576,11.73,72.99,84.72,2,1
37953,21.4,187.9,209.3,4,1
27401,15.63,59.9,151.06,1,1
6117,14.1,49.9,64.0,1,1
8875,18.16,129.99,148.15,10,1
56612,17.6,37.5,55.1,1,1
104063,15.1,22.9,38.0,1,1
74161,14.52,18.9,33.42,1,1
41766,14.07,149.9,163.97,2,1
91812,18.47,174.99,193.46,1,1
49889,13.07,103.9,116.97,4,1
59636,14.1,24.99,39.09,1,1
73918,17.6,46.0,63.6,1,1
14277,28.96,79.99,708.28,10,1
5884,15.13,39.9,130.07,1,1
101845,14.9,104.0,118.9,1,1
85294,14.11,42.99,57.1,1,1
89259,24.85,104.53,218.22,1,1
41724,12.74,56.99,69.73,1,1
81764,17.6,15.0,65.2,2,1
104045,11.95,65.0,76.95,2,1
27602,8.82,26.0,34.82,1,1
69710,12.96,89.0,101.96,1,1
53230,18.3,150.0,168.3,1,1
95061,40.37,149.0,189.37,2,1
103794,18.23,29.9,48.13,1,1
31891,16.42,94.9,111.32,1,1
57387,19.04,43.0,62.04,2,1
4988,15.1,29.98,45.08,1,1
94400,8.88,70.97,159.69,1,1
94250,45.09,89.99,135.08,10,1
112275,22.06,38.99,61.05,3,1
107436,13.61,85.0,98.61,1,1
2724,30.38,179.9,210.28,4,1
30969,7.39,53.49,60.88,1,1
41254,38.2,56.9,95.1,4,1
81752,16.11,45.0,61.11,3,1
76867,43.51,35.0,235.53,1,1
72180,9.01,37.5,93.02,1,1
96082,17.08,119.0,136.08,1,1
68342,15.41,43.89,59.3,1,1
96204,17.64,55.0,145.28,1,1
57296,24.84,19.99,44.83,1,1
107992,15.48,104.0,119.48,2,1
102616,8.88,35.0,175.52,5,1
97840,9.26,48.9,58.16,1,1
35244,17.6,37.5,12.25,1,2
60056,16.11,194.9,211.01,3,1
94040,17.88,89.9,107.78,2,1
61337,15.11,45.9,183.03,1,1
79354,7.94,84.89,185.66,1,1
84254,10.96,15.75,26.71,1,1
1155,18.08,92.9,110.98,5,1
21276,15.1,25.99,41.09,4,1
2662,21.08,85.0,100.0,1,2
100039,31.81,165.9,593.13,10,1
63844,31.44,112.9,144.34,8,1
68364,19.98,69.9,179.76,2,1
81602,8.27,39.49,95.52,2,1
100959,22.28,49.9,72.18,5,1
12494,13.78,62.21,75.99,3,1
13645,15.56,64.99,80.55,3,1
13774,53.4,149.9,203.3,3,1
14203,15.59,119.0,134.59,5,1
29710,13.86,120.0,48.74,1,2
67834,14.13,53.99,68.12,1,1
66498,8.35,86.5,94.85,1,1
45677,7.55,20.9,28.45,1,1
74452,17.21,39.99,194.41,3,1
65482,38.02,158.9,196.92,1,1
35439,19.55,139.9,159.45,1,1
84151,14.11,31.99,46.1,1,1
1413,23.47,139.0,162.47,3,1
103178,18.1,144.5,480.46,10,1
7950,35.14,190.83,225.97,1,1
56968,16.35,84.9,101.25,2,1
60347,19.32,229.04,248.36,5,1
83062,26.67,84.99,111.66,4,1
89207,17.67,59.9,387.85,1,1
107083,36.02,99.9,135.92,12,1
93080,24.39,55.0,79.39,6,1
23921,15.34,85.0,100.34,3,1
97550,18.38,39.9,58.28,1,1
29724,25.9,89.0,229.8,4,1
45559,33.57,1004.99,1038.56,10,1
98172,16.32,41.5,57.82,1,1
102820,16.79,49.9,66.69,4,1
14499,17.95,99.9,9.16,1,8
52555,20.76,269.0,289.76,8,1
72471,14.52,18.99,33.51,1,1
61133,14.06,68.9,82.96,1,1
15663,8.29,13.99,22.28,1,1
88420,16.11,38.0,162.33,1,1
11951,14.1,27.9,26.61,2,1
50431,7.87,21.9,29.77,1,1
105544,15.98,259.99,275.97,2,1
51264,16.79,18.77,71.12,7,1
19574,14.52,18.9,33.42,1,1
16311,15.31,80.0,22.62,1,1
65870,27.32,52.7,80.02,1,1
82841,14.64,148.0,162.64,2,1
90658,19.29,169.9,189.19,2,1
43076,5.29,16.0,67.86,3,1
47630,14.11,110.44,498.2,1,1
43283,25.15,120.0,145.15,1,1
88135,15.1,3.9,3.1,1,5
58716,8.08,118.0,126.08,3,1
47569,24.33,29.9,121.39,1,1
13256,27.43,140.0,167.43,3,1
48539,19.31,149.0,168.31,6,1
47104,13.77,58.9,72.67,1,1
70643,21.85,109.9,131.75,7,1
109192,19.19,276.9,592.18,1,1
76522,15.66,64.9,80.56,8,1
75158,7.78,39.9,47.68,1,1
45727,23.16,1199.9,1223.06,8,1
88727,13.36,200.4,213.76,4,1
89880,27.24,55.9,83.14,1,1
22771,11.85,13.65,25.5,2,1
61703,13.45,177.0,190.45,1,1
67433,7.61,49.99,57.6,1,1
44184,25.82,76.9,102.72,2,1
9149,17.92,29.5,47.42,1,1
13179,41.9,1349.99,1391.89,1,1
68562,82.07,179.0,261.07,1,1
15194,18.08,118.9,136.98,3,1
18418,8.72,15.0,47.44,2,1
104141,28.5,159.9,188.4,1,1
73443,29.43,159.9,189.33,1,1
37270,7.81,79.9,87.71,1,1
103644,7.94,29.0,15.48,1,5
107896,25.02,195.0,220.02,4,1
46581,22.4,97.9,120.3,1,1
59479,17.6,39.99,57.59,1,1
47081,104.0,399.0,881.99,1,1
55772,13.48,65.99,14.47,1,4
46341,14.44,99.0,113.44,6,1
30263,15.67,81.9,97.57,3,1
59745,12.04,76.9,177.88,4,1
53576,11.85,16.9,28.75,1,1
39408,7.78,19.9,46.05,1,2
72550,14.73,59.99,74.72,1,1
75632,1.3,24.4,185.07,2,1
21920,18.23,15.9,34.13,3,1
4475,12.43,99.99,112.42,1,1
99260,13.58,79.9,93.48,3,1
105032,20.04,114.9,134.94,1,1
49385,7.39,14.9,22.29,1,1
72148,11.31,68.0,210.62,8,1
28697,12.69,45.9,58.59,2,1
32226,12.79,16.0,57.58,1,1
58919,22.06,39.9,61.96,1,1
90419,18.22,59.99,78.21,7,1
40886,23.32,105.9,129.22,1,1
13881,16.5,249.9,266.4,4,1
65148,13.26,550.0,563.26,3,1
45082,16.63,54.9,71.53,2,1
16794,15.56,44.55,60.11,6,1
57588,29.79,199.0,228.79,10,1
64661,8.29,33.0,41.29,4,1
67721,44.88,49.99,406.95,1,1
90692,24.84,25.86,50.7,1,1
36878,42.8,109.9,610.8,3,1
102108,16.79,22.9,23.48,2,2
96018,15.8,99.99,115.79,2,1
100829,8.72,58.67,67.39,1,1
107076,8.72,59.9,68.62,1,1
54298,37.26,49.9,87.16,1,1
95557,21.75,179.9,201.65,1,1
50895,11.93,28.8,122.19,1,1
20696,17.78,75.5,93.28,2,1
17063,11.85,25.0,36.85,3,1
76558,15.11,49.9,73.48,7,1
73632,18.09,119.9,137.99,6,1
16615,19.74,79.0,197.48,6,1
37415,17.6,42.9,60.5,6,1
100771,14.17,59.9,74.07,2,1
35520,1.99,26.0,73.92,7,1
48779,15.23,45.9,61.13,2,1
98792,15.11,15.0,30.11,1,1
31672,11.85,49.95,61.8,1,1
29162,14.67,50.9,34.61,1,3
1002,9.94,26.0,35.94,3,1
29449,14.37,89.0,103.37,4,1
14888,11.15,45.62,56.77,4,1
78992,15.15,56.99,72.14,1,1
56854,16.82,439.0,455.82,10,1
99369,18.08,39.9,289.9,5,1
4050,18.38,39.97,175.05,4,1
93370,29.21,115.99,435.6,6,1
72268,10.8,105.0,231.6,5,1
59857,12.99,46.9,59.89,2,1
108890,18.44,50.9,69.34,6,1
38556,19.11,175.0,20.0,1,2
106309,9.34,69.9,79.24,1,1
52150,34.0,249.0,283.0,1,1
33419,43.42,198.0,241.42,24,1
37041,24.69,549.99,574.68,10,1
12804,60.91,168.0,457.82,1,1
109007,17.5,84.0,6.9,1,1
22006,8.29,17.0,25.29,2,1
304,12.84,25.9,77.48,1,1
56054,13.37,49.9,63.27,1,1
110373,11.85,43.2,50.0,1,2
96734,18.37,159.9,178.27,4,1
105598,13.83,199.0,212.83,10,1
6235,13.37,25.73,39.1,1,1
23121,13.08,75.0,88.08,1,1
20801,9.74,26.0,35.74,1,1
9286,16.11,29.0,45.11,1,1
109409,8.98,199.9,208.88,10,1
78019,16.61,199.9,216.51,3,1
86464,14.33,169.0,183.33,1,1
104526,25.63,24.99,50.62,1,1
36574,23.48,127.89,151.37,10,1
76271,7.78,31.5,39.28,1,1
54027,15.23,29.99,45.22,4,1
81729,25.91,89.9,115.81,3,1
108694,16.07,169.97,186.04,8,1
41661,16.11,45.8,123.82,1,1
12986,54.45,265.0,319.45,1,1
36630,20.89,199.9,220.79,1,1
1637,21.52,146.99,168.51,1,1
17526,8.86,95.0,103.86,1,1
23394,16.79,24.5,41.29,1,1
100183,36.85,629.0,665.85,10,1
75464,25.84,79.99,105.83,2,1
66943,17.26,59.9,77.16,1,1
104340,34.72,1199.9,1234.62,1,1
67091,16.11,8.99,150.6,1,1
37765,27.72,199.9,227.62,10,1
75736,14.72,139.0,153.72,5,1
90279,26.25,524.9,551.15,10,1
29880,12.48,39.9,52.38,1,1
22221,12.69,38.4,153.27,3,1
2037,17.29,219.0,236.29,3,1
49728,15.1,24.99,40.09,4,1
87004,14.64,294.9,309.54,6,1
44823,22.17,239.9,262.07,6,1
41650,15.1,46.8,123.8,1,1
49246,12.43,69.9,82.33,1,1
68088,10.18,194.65,204.83,2,1
29019,21.12,89.9,111.02,10,1
39610,54.48,115.0,169.48,5,1
71320,16.59,119.0,135.59,7,1
80282,14.37,89.0,103.37,1,1
98915,22.62,163.99,373.22,8,1
65872,17.59,339.99,357.58,7,1
49320,15.32,79.9,95.22,1,1
52312,210.09,659.0,869.09,10,1
86510,14.16,379.99,394.15,3,1
92835,10.96,26.9,37.86,3,1
104739,15.1,49.49,64.59,1,1
77552,17.67,59.9,155.14,3,1
104693,9.51,99.0,108.51,2,1
31329,17.25,232.0,249.25,10,1
27291,23.61,187.9,211.51,10,1
18353,12.69,49.0,123.38,1,1
27093,78.37,550.0,628.37,1,1
94596,15.1,29.9,45.0,1,1
7215,20.1,87.0,107.1,1,1
105802,18.99,63.0,81.99,8,1
108875,16.81,119.9,273.42,1,1
27295,17.78,75.5,93.28,4,1
86417,15.1,37.99,53.09,1,1
30211,15.34,83.99,198.66,8,1
21501,17.63,26.99,44.62,1,1
88903,1.1,39.99,224.97,2,1
60828,17.37,89.9,8.23,1,7
56245,15.79,39.9,55.69,1,1
60486,18.98,125.0,143.98,2,1
84133,16.96,410.0,426.96,1,1
25885,15.65,128.9,144.55,1,1
12212,17.06,49.99,268.2,1,1
107798,26.06,215.56,241.62,4,1
17501,15.1,8.9,24.0,1,1
35138,21.18,98.7,119.88,1,1
69117,11.15,69.9,81.05,1,1
67095,16.11,8.99,150.6,1,1
45568,15.79,39.8,111.18,10,1
53347,10.96,19.8,30.76,1,1
42218,17.78,1502.93,1520.71,5,1
101953,15.1,29.99,270.54,1,1
43317,15.23,34.99,50.22,3,1
109517,38.11,79.99,118.1,3,1
1938,7.39,8.9,16.29,1,1
55040,15.32,35.9,51.22,1,1
71174,16.11,46.9,63.01,1,1
29983,57.1,119.94,177.04,1,1
82345,20.43,35.0,166.29,1,1
18981,62.89,122.99,185.88,1,1
21355,29.83,114.99,144.82,5,1
25149,9.26,72.99,82.25,1,1
68581,23.06,69.0,92.06,2,1
2143,17.06,18.0,70.12,1,1
38711,17.16,129.99,15.84,1,7
47649,173.02,289.0,462.02,2,1
36785,14.52,32.9,94.84,1,1
107584,15.28,75.78,91.06,5,1
19482,16.11,24.75,21.44,1,2
91021,13.89,110.0,123.89,1,1
86399,14.1,27.99,84.18,8,1
109274,13.0,59.99,72.99,1,1
45815,24.27,69.0,255.16,6,1
110981,15.44,49.0,64.44,1,1
47034,18.23,13.99,193.32,6,1
24436,11.23,99.99,111.22,3,1
101596,35.36,92.0,127.36,1,1
18881,18.23,39.99,58.22,1,1
6818,9.85,157.41,167.26,1,1
95212,44.76,169.0,213.76,4,1
70436,7.98,159.0,166.98,2,1
109228,14.34,84.99,99.33,1,1
110747,46.4,129.99,176.39,3,1
8844,15.57,199.9,215.47,3,1
78087,15.25,69.9,50.0,1,2
70695,16.32,79.9,46.22,1,1
29762,14.43,99.9,228.66,6,1
62581,13.72,19.99,29.6,1,2
84073,13.03,84.99,98.02,3,1
100849,90.25,1277.5,1367.75,4,1
89002,56.31,146.99,203.3,10,1
29503,19.36,559.99,579.35,10,1
110806,16.91,20.5,457.2,1,1
61221,13.73,53.0,66.73,3,1
83960,15.23,12.0,27.23,1,1
4469,12.61,159.0,171.61,4,1
98397,45.44,139.99,185.43,3,1
84159,23.0,99.0,243.99,1,1
85690,21.15,49.9,71.05,1,1
57377,15.17,59.98,75.15,1,1
51808,19.61,59.99,79.6,7,1
61408,14.52,26.0,81.04,5,1
55804,19.65,492.0,511.65,4,1
89270,7.41,22.0,29.41,1,1
13547,16.67,59.9,76.57,5,1
109526,10.96,34.99,45.95,1,1
92666,21.15,39.9,61.05,6,1
7108,14.58,139.9,104.48,5,1
31702,16.13,279.9,1.86,1,2
109460,9.34,25.9,35.24,1,1
7277,11.9,56.99,68.89,1,1
89993,23.47,45.0,68.47,1,1
92753,49.4,125.0,174.4,8,1
54855,15.11,30.0,45.11,1,1
90739,33.14,98.99,132.13,2,1
85419,7.95,98.9,106.85,1,1
43092,11.4,369.0,380.4,5,1
84605,15.12,52.9,18.02,1,1
95844,34.45,19.9,54.35,1,1
105256,35.71,55.9,51.61,1,1
103670,16.79,38.9,55.69,2,1
33029,20.85,51.69,217.62,1,1
24672,13.44,59.9,73.34,7,1
65286,19.01,109.9,128.91,6,1
74164,36.67,409.99,446.66,12,1
104007,13.44,59.9,146.68,2,1
19655,15.1,19.9,35.0,1,1
21201,23.21,12.99,16.7,1,10
20796,17.83,198.0,34.85,1,1
45826,7.78,47.49,5.86,1,2
7730,9.37,81.56,126.43,10,1
73249,38.25,99.9,138.15,1,1
9255,5.37,39.0,133.11,1,1
87949,17.48,245.7,1315.9,1,1
111931,8.72,55.99,64.71,1,1
103595,15.1,13.98,33.59,3,1
21006,44.81,49.99,94.8,1,1
64825,13.64,89.15,102.79,1,1
84960,26.01,150.0,372.01,8,1
20204,15.24,69.9,85.14,5,1
8092,8.29,15.3,23.59,1,1
34957,14.66,129.9,144.56,2,1
63396,27.83,476.5,504.33,10,1
49448,25.21,122.99,148.2,2,1
63947,4.21,79.9,206.08,5,1
96756,7.39,55.7,315.45,8,1
103116,22.95,64.99,87.94,3,1
20196,18.99,149.65,168.64,3,1
53145,15.47,79.9,95.37,1,1
96732,45.69,120.9,166.59,2,1
103334,12.79,29.9,85.38,1,1
55212,22.95,146.01,168.96,3,1
85539,14.11,107.8,121.91,2,1
93274,21.15,29.99,51.14,5,1
46173,12.74,56.9,69.64,6,1
83088,23.01,29.9,52.91,1,1
31482,7.47,29.29,73.52,1,1
11317,17.54,99.99,117.53,1,1
79279,19.33,52.0,71.33,1,1
40961,53.36,39.89,355.29,1,1
95701,17.85,59.9,65.94,2,2
98170,12.43,69.9,82.33,3,1
17765,23.68,168.9,192.58,1,1
8235,16.9,65.9,414.0,1,1
31960,9.29,76.9,86.19,2,1
29848,18.9,49.99,213.68,1,1
5173,15.52,203.8,219.32,1,1
98189,17.97,35.0,105.94,1,1
19794,15.43,97.79,113.22,1,1
105575,12.7,65.0,77.7,1,1
81364,18.66,79.9,197.12,3,1
93284,15.1,25.3,40.4,1,1
74872,19.94,99.99,119.93,2,1
31141,14.1,21.9,108.0,10,1
5595,15.1,39.99,55.09,1,1
5104,34.15,49.9,168.1,1,1
78492,15.35,39.9,55.25,2,1
81111,15.12,299.99,315.11,5,1
73835,8.11,16.9,25.01,2,1
38722,12.48,22.9,70.76,1,1
86765,9.34,34.99,177.32,1,1
29690,23.36,29.99,53.35,1,1
83199,22.4,34.9,129.2,8,1
23044,16.79,35.0,51.79,1,1
105962,13.18,120.0,142.46,5,1
34050,17.06,88.0,105.06,3,1
24359,9.44,99.0,108.44,4,1
12481,14.34,84.99,99.33,1,1
106934,17.88,89.9,107.78,1,1
64184,7.78,18.9,26.68,1,1
26090,12.66,75.9,88.56,1,1
18621,20.08,119.0,270.13,4,1
78899,11.85,19.9,63.5,3,1
72448,35.97,119.8,155.77,1,1
28068,15.6,120.0,135.6,1,1
36115,11.85,29.9,41.75,1,1
106913,44.05,265.0,309.05,6,1
91542,18.44,79.9,98.34,1,1
67909,18.23,3.5,108.65,2,1
742,18.0,157.0,175.0,10,1
107061,8.72,29.0,37.72,1,1
50925,60.65,389.0,449.65,1,1
50594,18.04,189.96,208.0,1,1
79797,15.44,49.0,64.44,1,1
13563,16.9,181.0,197.9,2,1
73024,37.75,120.0,157.75,2,1
32128,16.67,67.99,84.66,1,1
97679,25.63,15.0,40.63,4,1
14149,28.75,50.0,15.85,1,2
37721,22.75,58.8,241.43,3,1
81281,15.1,19.9,35.0,1,1
89032,17.96,159.9,177.86,3,1
45566,37.27,51.9,89.17,1,1
79176,27.08,23.99,204.28,3,1
37983,17.43,239.0,256.43,10,1
69226,20.98,69.9,90.88,4,1
52071,16.53,48.9,25.0,1,2
51130,23.84,179.99,203.83,1,1
102209,22.06,26.86,48.92,3,1
4911,15.23,69.0,84.23,1,1
17250,47.85,58.9,106.75,1,1
34321,14.5,110.0,124.5,1,1
78722,11.85,44.9,56.75,1,1
16100,40.94,1079.9,1120.84,2,1
103705,9.26,39.9,49.16,1,1
46631,22.67,25.99,97.32,3,1
93458,24.87,96.2,121.07,8,1
79022,13.04,85.5,98.54,1,1
19260,20.03,319.0,339.03,6,1
79516,18.39,73.5,91.89,1,1
962,13.69,312.84,326.53,8,1
38717,17.16,129.99,16.55,1,6
47263,49.61,249.99,299.6,3,1
79101,0.92,32.39,82.78,8,1
20675,19.53,79.9,99.43,1,1
110871,13.52,70.97,84.49,2,1
69054,15.11,29.9,45.01,1,1
103801,15.1,29.99,45.09,4,1
103992,7.39,59.9,67.29,1,1
61659,19.07,139.0,158.07,6,1
32840,11.74,24.9,36.64,2,1
60095,15.44,99.0,114.44,2,1
55291,8.8,118.5,127.3,2,1
60544,23.07,49.9,72.97,1,1
82155,11.85,48.8,424.55,8,1
72266,15.79,39.99,55.78,1,1
55397,19.64,104.9,124.54,3,1
90865,15.11,45.0,120.22,6,1
25844,23.71,235.0,258.71,3,1
111596,15.1,10.9,26.0,1,1
81660,9.34,26.9,36.24,1,1
43629,16.39,89.99,106.38,1,1
21163,38.51,1299.9,1338.41,8,1
9543,59.62,219.9,279.52,5,1
110775,26.89,49.9,76.79,3,1
22379,4.34,29.9,171.09,1,1
13579,17.21,39.9,57.11,1,1
83451,7.78,39.99,47.77,1,1
88527,8.27,9.9,18.17,1,1
71272,13.66,75.78,1.58,1,10
36590,29.17,109.9,139.07,1,1
25291,22.8,1149.65,1172.45,8,1
81594,32.61,79.9,155.64,7,1
106646,17.13,59.9,77.03,1,1
35549,0.0,110.0,110.0,4,1
72280,17.95,99.9,117.85,10,1
26384,7.71,29.9,37.61,1,1
87271,18.3,149.86,168.16,7,1
17247,15.1,18.0,33.1,1,1
22175,14.15,56.99,71.14,1,1
16520,18.44,79.9,98.34,1,1
88522,11.9,99.99,111.89,2,1
44931,8.29,28.0,36.29,1,1
34284,15.1,16.9,128.0,10,1
34661,18.79,575.99,594.78,10,1
10340,10.96,19.99,30.95,1,1
8306,71.53,379.0,901.06,1,1
25918,7.78,49.9,57.68,1,1
71830,14.1,13.99,56.18,2,1
17293,12.02,199.89,211.91,3,1
102986,8.72,59.9,68.62,1,1
50441,15.11,45.0,15.73,1,1
72259,9.44,40.0,49.44,1,1
7431,19.49,43.0,62.49,6,1
40468,15.3,89.15,211.86,1,1
43666,9.45,18.6,67.69,3,1
97664,16.16,199.99,216.15,1,1
10993,15.48,285.0,300.48,4,1
24697,15.1,39.9,55.0,1,1
60927,15.1,20.9,36.0,1,1
14536,12.57,59.0,153.14,8,1
69886,18.65,78.0,96.65,3,1
94800,18.59,102.0,120.59,6,1
30834,7.39,39.9,47.29,2,1
85638,9.51,99.0,108.51,2,1
88071,17.21,109.99,33.56,1,3
77815,10.96,24.9,35.86,1,1
29133,36.72,199.99,236.71,5,1
5422,28.75,42.9,71.65,1,1
53894,34.76,110.0,144.76,7,1
95797,12.84,25.9,116.22,1,1
23785,11.15,25.0,36.15,1,1
89845,23.28,39.0,62.28,1,1
107257,16.79,19.9,36.69,1,1
12143,52.12,199.9,252.02,5,1
50008,18.75,99.9,118.65,1,1
52276,19.34,750.0,769.34,1,1
68701,28.81,58.99,87.8,1,1
87950,17.48,245.7,1315.9,1,1
37205,14.13,53.99,68.12,1,1
13951,15.35,84.99,100.34,1,1
27142,8.72,41.9,50.62,1,1
57460,14.87,99.9,114.77,2,1
17269,15.11,52.11,67.22,1,1
33420,81.39,367.9,449.29,9,1
74987,17.67,49.0,66.67,2,1
16414,23.22,59.99,83.21,1,1
26083,21.18,54.99,76.17,5,1
93930,22.85,29.3,104.3,1,1
56277,15.1,32.9,48.0,1,1
103612,26.25,89.99,116.24,4,1
38462,8.72,49.99,58.71,1,1
26973,18.47,52.9,71.37,1,1
103206,7.88,89.9,97.78,1,1
92946,13.27,97.9,111.17,1,1
88551,7.78,45.9,53.68,1,1
13441,11.46,349.99,361.45,5,1
25959,14.1,49.8,63.9,3,1
100489,8.38,31.5,39.88,1,1
71247,15.1,32.0,47.1,1,1
70584,11.15,25.0,36.15,2,1
26945,18.5,535.9,554.4,6,1
88854,13.56,76.9,90.46,1,1
41407,18.14,339.9,358.04,10,1
4548,14.52,29.5,44.02,1,1
20258,19.89,99.9,119.79,2,1
35456,7.41,21.6,29.01,1,1
9558,22.1,24.9,47.0,1,1
4313,11.73,59.99,71.72,1,1
26526,14.1,19.9,68.0,5,1
54379,23.22,59.99,83.21,4,1
17289,15.79,14.89,30.68,3,1
64454,25.6,209.99,235.59,8,1
14479,8.29,16.9,25.19,2,1
5879,17.67,59.9,77.57,2,1
45735,14.52,110.0,124.52,2,1
78242,15.23,10.9,26.13,2,1
98673,3.38,86.9,18.85,1,1
31758,19.04,22.9,41.94,4,1
31072,16.95,39.99,51.37,1,2
38753,9.9,169.9,414.45,3,1
89248,13.61,40.0,53.61,1,1
96604,14.91,186.0,200.91,8,1
11796,12.65,99.49,112.14,1,1
107205,13.25,99.9,113.15,1,1
43589,16.55,159.0,175.55,3,1
36773,11.85,34.99,46.84,1,1
43684,13.17,118.58,131.75,10,1
12269,17.95,99.99,117.94,5,1
83798,12.69,38.97,51.66,1,1
47815,22.49,169.9,192.39,4,1
50427,15.1,11.55,26.65,1,1
